KalturaID,Name,Broadcast Date,Year,Host,Program Duration,Country,Notes,Transcript
0_q188tci0,Music Time in Africa July 25 1971,7/25/71,1971,Sue Moran,26:50:00,"Mozambique, Zambia, Uganda, Tanzania, Liberia, Republic of the Congo",,
0_et37es7z,Music Time in Africa August 1 1971,8/1/71,1971,Sue Moran,27:35:00,"Kenya, Republic of the Congo, Guinea, Cameroon",,
0_y27bf4bv,Music Time in Africa August 8 1971,8/8/71,1971,Sue Moran,22:53,"Nigeria, Cameroon, Central African Republic, Liberia, Guinea",,
0_r24qaaep,Music Time in Africa August 15 1971,8/15/71,1971,Sue Moran,27:35:00,"Kenya, Republic of the Congo, Guinea, Cameroon",,
0_lbp52tgj,Music Time in Africa November 21 1971,11/21/71,1971,Sue Moran,23:32,Ghana,,
0_n1tut6qt,Music Time in Africa February 13 1972,2/13/72,1972,Sue Moran,29:26:00,Democratic Republic of the Congo,,
0_oxzv8bpv,Music Time in Africa March 12 1972,3/12/72,1972,"Leo Sarkisian, Sue Moran",19:29,Mauritania,,
0_m9ikzzku,Music Time in Africa March 19 1972,3/19/72,1972,Sue Moran,23:43,Chad,,
0_9k17dfjp,Music Time in Africa March 26 1972,3/26/72,1972,Sue Moran,23:07,Ethiopia,,
0_ab28vkv4,Music Time in Africa April 2 1972,4/2/72,1972,Sue Moran,26:51:00,,,
0_8rsz33l8,Music Time in Africa April 9 1972,4/9/72,1972,Sue Moran,23:06,Tunisia,,
0_vs9ya5t8,Music Time in Africa September 24 1972,9/24/72,1972,Sue Moran,22:35,"Democratic Republic of the Congo, Democratic Republic of the Congo",,
0_9vstvjqm,Music Time in Africa October 1 1972,10/1/72,1972,Sue Moran,25:35:00,"Democratic Republic of the Congo, Democratic Republic of the Congo, Zambia",,
0_la8uchyj,Music Time in Africa October 8 1972,10/8/72,1972,Sue Moran,24:47:00,"Democratic Republic of the Congo, Democratic Republic of the Congo",,
0_srz0h1n9,Music Time in Africa October 15 1972,10/15/72,1972,Sue Moran,25:28:00,Lesotho,,
0_8xauktxr,Music Time in Africa October 29 1972,10/29/72,1972,Sue Moran,21:03,Sierra Leone,,
0_lhf7dfa7,Music Time in Africa December 10 1972,12/10/72,1972,Sue Moran,24:11:00,"Democratic Republic of the Congo, Democratic Republic of the Congo",,
0_0amndv6i,Music Time in Africa February 11 1973,2/11/73,1973,Sue Moran,30:31:00,Nigeria,,
0_lzwrvufw,Music Time in Africa March 11 1973,3/11/73,1973,Sue Moran,22:45,Nigeria,,
0_ig7exgd3,Music Time in Africa April 1 1973,4/1/73,1973,Sue Moran,26:01:00,Niger,,
0_nsfrscku,Music Time in Africa April 8 1973,4/8/73,1973,Sue Moran,22:57,"South Africa, Lesotho",,
0_4e0v2dh6,Music Time in Africa April 15 1973,4/15/73,1973,Sue Moran,30:11:00,Nigeria,,
0_3qxo140y,Music Time in Africa April 22 1973,4/22/73,1973,Sue Moran,27:05:00,Angola,,
0_yf8yyey9,Music Time in Africa April 29 1973,4/29/73,1973,Sue Moran,20:55,"Niger, Nigeria",,
0_a1ah9l88,Music Time in Africa September 16 1973,9/16/73,1973,Sue Moran,31:21:00,Malawi,,
0_e7b5e0gs,Music Time in Africa September 23 1973,9/23/73,1973,"Sue Moran, Leo Sarkisian",27:20:00,Tanzania,,
0_r0q6ixdt,Music Time in Africa October 21 1973,10/21/73,1973,Sue Moran,27:18:00,Morocco,,
0_hlxjacup,Music Time in Africa October 28 1973,10/28/73,1973,Sue Moran,24:04:00,"Benin, Benin",,
0_1gck2zme,Music Time in Africa November 4 1973,11/4/73,1973,Sue Moran,24:00:00,Liberia,,
0_gne7u15j,Music Time in Africa November 11 1973,11/11/73,1973,Sue Moran,24:40:00,"Democratic Republic of the Congo, Uganda, Ethiopia, Kenya, Ivory Coast, Liberia, Guinea, Mauritania",,
0_l8tb99dv,Music Time in Africa November 18 1973,11/18/73,1973,Sue Moran,25:06:00,"Guinea, Mali",,
0_n0o7u59q,Music Time in Africa November 25 1973,11/25/73,1973,Sue Moran,21:12,"Kenya, Uganda",,
0_uxyo0oja,Music Time in Africa December 2 1973,12/2/73,1973,Sue Moran,23:09,"Liberia, Ivory Coast",,
0_jn9vatb2,Music Time in Africa December 9 1973,12/9/73,1973,Sue Moran,24:18:00,"South Africa, Mozambique, Zambia, Burundi, Malawi, Liberia, Tanzania",,
0_vn4ma9a1,Music Time in Africa February 17 1974,2/17/74,1974,Sue Moran,23:57,South Africa,,
0_83bqad68,Music Time in Africa March 3 1974,3/3/74,1974,Sue Moran,25:49:00,Swaziland,,
0_xbyjhkvm,Music Time in Africa March 10 1974,3/10/74,1974,Sue Moran,29:27:00,Democratic Republic of the Congo,,
0_c51gojlx,Music Time in Africa March 17 1974,3/17/74,1974,Sue Moran,27:50:00,"Zimbabwe, Zimbabwe",,
0_5he7ultw,Music Time in Africa March 24 1974,3/24/74,1974,Sue Moran,28:04:00,Tanzania,,
0_gew7qbuy,Music Time in Africa April 7 1974,4/7/74,1974,Sue Moran,30:12:00,"Liberia, Tanzania, Ghana, Nigeria, South Africa, Uganda, Democratic Republic of the Congo, Kenya",,
0_afihxbio,Music Time in Africa August 4 1974,8/4/74,1974,Sue Moran,27:33:00,Nigeria,,
0_6wqll9wz,Music Time in Africa August 11 1974,8/11/74,1974,Sue Moran,29:52:00,"Democratic Republic of the Congo, Democratic Republic of the Congo",,
0_3xl3yilb,Music Time in Africa August 18 1974,8/18/74,1974,Sue Moran,25:55:00,"Burkina Faso, Burkina Faso",,
0_e77khsxl,Music Time in Africa August 25 1974,8/25/74,1974,Sue Moran,22:34,Ivory Coast,,
0_3hqjo4zu,Music Time in Africa October 6 1974,10/6/74,1974,Sue Moran,29:38:00,Ivory Coast,,
0_sd8wk8qh,Music Time in Africa October 13 1974,10/13/74,1974,Sue Moran,31:05:00,Central African Republic,,
0_bzn3sr8t,Music Time in Africa October 20 1974,10/20/74,1974,Sue Moran,31:21:00,"Democratic Republic of the Congo, Democratic Republic of the Congo",,
0_mnlbdusa,Music Time in Africa November 3 1974,11/3/74,1974,Sue Moran,27:53:00,Tanzania,,
0_746j30ro,Music Time in Africa November 10 1974,11/10/74,1974,Sue Moran,27:41:00,"Guinea, Cameroon, Angola, Democratic Republic of the Congo, Democratic Republic of the Congo, Tanzania",,
0_rrdqbioe,Music Time in Africa November 17 1974,11/17/74,1974,Sue Moran,26:06:00,"Madagascar, Madagascar",,
0_ofoj1ev0,Music Time in Africa December 1 1974,12/1/74,1974,Sue Moran,24:52:00,Gabon,,
0_aqfz0w64,Music Time in Africa December 8 1974,12/8/74,1974,Sue Moran,29:09:00,Democratic Republic of the Congo,,
0_7x7dalq9,Music Time in Africa March 23 1975,3/23/75,1975,Sue Moran,25:39:00,Botswana,,
0_biz7jfqx,Music Time in Africa March 30 1975,3/30/75,1975,Sue Moran,31:31:00,"Cameroon, Nigeria",,
0_c93szl8n,Music Time in Africa April 6 1975,4/6/75,1975,Sue Moran,26:12:00,Sierra Leone,,
0_2ctfw3f3,Music Time in Africa April 13 1975,4/13/75,1975,Sue Moran,28:00:00,Togo,,
0_x6q9yxo0,Music Time in Africa April 20 1975,4/20/75,1975,Sue Moran,26:14:00,South Africa,,
0_yoqvgued,Music Time in Africa April 27 1975,4/27/75,1975,Sue Moran,25:25:00,Zambia,,
0_90in64ci,Music Time in Africa May 4 1975,5/4/75,1975,Sue Moran,25:32:00,Nigeria,,
0_7k676epm,Music Time in Africa May 11 1975,5/11/75,1975,Sue Moran,26:21:00,Kenya,,
0_hg2z976x,Music Time in Africa May 25 1975,5/25/75,1975,Sue Moran,31:21:00,"Madagascar, Madagascar",,
0_re71l51s,Music Time in Africa June 1 1975,6/1/75,1975,Sue Moran,31:41:00,Mali,,
0_7f6d9dni,Music Time in Africa June 8 1975,6/8/75,1975,Sue Moran,31:38:00,Mali,,
0_y8mgd3mo,Music Time in Africa September 21 1975,9/21/75,1975,Sue Moran,31:30:00,"Madagascar, Madagascar",,
0_1ax2bl6e,Music Time in Africa September 28 1975,9/28/75,1975,Sue Moran,31:25:00,"Madagascar, Madagascar",,
0_pxfzqf7k,Music Time in Africa October 5 1975,10/5/75,1975,Sue Moran,31:46:00,Nigeria,,
0_qqpcpfdx,Music Time in Africa October 12 1975,10/12/75,1975,Sue Moran,31:03:00,Nigeria,,
0_kz6e6g8w,Music Time in Africa October 19 1975,10/19/75,1975,Sue Moran,23:46,Central African Republic,,
0_rg1bk0ip,Music Time in Africa October 26 1975,10/26/75,1975,Sue Moran,32:00:00,Ethiopia,,
0_vz24f9ib,Music Time in Africa November 2 1975,11/2/75,1975,Sue Moran,31:32:00,"Ivory Coast, Mali",,
0_g5gv5bsz,Music Time in Africa November 9 1975,11/9/75,1975,Sue Moran,27:02:00,Central African Republic,,
0_4ueixinj,Music Time in Africa November 16 1975,11/16/75,1975,Sue Moran,31:52:00,Tunisia,,
0_wxz7zcyu,Music Time in Africa November 30 1975,11/30/75,1975,Sue Moran,31:59:00,Guinea,,
0_lgk5ffcf,Music Time in Africa December 7 1975,12/7/75,1975,Sue Moran,17:11,Zambia,,
0_0mn5r5ft,Music Time in Africa April 25 1976,4/25/76,1976,Sue Moran,31:47:00,Sudan,,
0_7nu6yzet,Music Time in Africa May 2 1976,5/2/76,1976,Sue Moran,26:37:00,"Democratic Republic of the Congo, Democratic Republic of the Congo",,
0_wz6zcspq,Music Time in Africa May 9 1976,5/9/76,1976,Sue Moran,31:48:00,Niger,,
0_6aam97vl,Music Time in Africa May 16 1976,5/16/76,1976,Sue Moran,27:12:00,Cameroon,,
0_f8yztzh8,Music Time in Africa May 23 1976,5/23/76,1976,Sue Moran,31:48:00,"Guinea, Mali, Liberia, Benin, Ethiopia, Malawi, Madagascar",,
0_ozmg3gdk,Music Time in Africa May 30 1976,5/30/76,1976,Sue Moran,32:03:00,"Democratic Republic of the Congo, Democratic Republic of the Congo",,
0_cx9lszyx,Music Time in Africa June 6 1976,6/6/76,1976,Sue Moran,31:46:00,Malawi,,
0_b4lqdbhl,Music Time in Africa July 4 1976,7/4/76,1976,Sue Moran,24:24:00,Ghana,Program features exclusively features music sent to VOA by the Director General of Cultural Affairs of the Federal Islamic Republic of Comoros.,
0_nkb3j8m5,Music Time in Africa July 11 1976,7/11/76,1976,Sue Moran,31:46:00,Angola,,
0_st1mmdnr,Music Time in Africa July 18 1976,7/18/76,1976,Sue Moran,31:48:00,"Mozambique, Zambia",,
0_s98bylyn,Music Time in Africa July 25 1976,7/25/76,1976,Sue Moran,23:40,Mali,,
0_lfk2qu2l,Music Time in Africa January 30 1977,1/30/77,1977,Sue Moran,26:56:00,"Zimbabwe, South Africa, Zimbabwe",,
0_l2c4dq8d,Music Time in Africa February 6 1977,2/6/77,1977,Sue Moran,26:56:00,Tanzania,,
0_cu2q7i37,Music Time in Africa February 20 1977,2/20/77,1977,Sue Moran,25:55:00,Zambia,,
0_gmiib0e9,Music Time in Africa February 27 1977,2/27/77,1977,Sue Moran,32:00:00,"Ghana, Nigeria",,
0_v49djxds,Music Time in Africa  March 6 1977,3/6/77,1977,Sue Moran,26:36:00,"Mali, Guinea",,
0_vzoajywx,Music Time in Africa March 13 1977,3/13/77,1977,Sue Moran,31:51:00,Uganda,,
0_7cq8zn3d,Music Time in Africa March 20 1977,3/20/77,1977,Sue Moran,26:14:00,Lesotho,,
0_1okw7o42,Music Time in Africa March 27 1977,3/27/77,1977,Sue Moran,31:51:00,"Democratic Republic of the Congo, Democratic Republic of the Congo, Angola",,
0_x2xvjifr,Music Time in Africa April 10 1977,4/10/77,1977,Sue Moran,30:50:00,Kenya,,
0_kbhjhx6l,Music Time in Africa April 17 1977,4/17/77,1977,Sue Moran,30:43:00,Ivory Coast,,
0_cxa7rnj0,Music Time in Africa April 24 1977,4/24/77,1977,Sue Moran,30:52:00,Malawi,,
0_04w92w0w,Music Time in Africa May 1 1977,5/1/77,1977,Sue Moran,31:51:00,Morocco,,
0_0izdwxqc,Music Time in Africa May 8 1977,5/8/77,1977,Sue Moran,31:41:00,Burkina Faso,,
0_vou4287r,Music Time in Africa May 22 1977,5/22/77,1977,Sue Moran,31:55:00,Benin,,
0_pfyye9q6,Music Time in Africa May 29 1977,5/29/77,1977,Sue Moran,31:58:00,"Botswana, Democratic Republic of the Congo, Malawi, Tanzania",,
0_t6jj8zta,Music Time in Africa June 5 1977,6/5/77,1977,Sue Moran,31:47:00,Mauritania,,
0_nebd8ugz,Music Time in Africa June 12 1977,6/12/77,1977,Sue Moran,26:44:00,Ethiopia,,
0_h20d05so,Music Time in Africa June 19 1977,6/19/77,1977,Sue Moran,23:30,Rwanda,,
0_i6uhqg2p,Music Time in Africa June 26 1977,6/26/77,1977,Sue Moran,31:49:00,Rwanda,,
0_hdyea0h9,Music Time in Africa July 3 1977,7/3/77,1977,Sue Moran,32:30:00,Chad,,
0_y5wjjvhn,Music Time in Africa July 10 1977,7/10/77,1977,Sue Moran,31:35:00,Chad,,
0_6gp80se1,Music Time in Africa July 17 1977,7/17/77,1977,Sue Moran,25:42:00,Gabon,,
0_6z7kzu1v,Music Time in Africa July 24 1977,7/24/77,1977,Sue Moran,31:43:00,Gabon,,
0_nwo29sno,Music Time in Africa July 31 1977,7/31/77,1977,Sue Moran,31:58:00,Mauritius,,
0_0dsjv1x0,Music Time in Africa August 7 1977,8/7/77,1977,Sue Moran,31:42:00,Sierra Leone,,
0_q1dx3ras,Music Time in Africa August 14 1977,8/14/77,1977,Sue Moran,31:46:00,Liberia,,
0_5q2ft346,Music Time in Africa August 21 1977,8/21/77,1977,Sue Moran,31:41:00,"Zimbabwe, Zimbabwe, Mozambique",,
0_b2uvcnyu,Music Time in Africa August 28 1977,8/28/77,1977,Sue Moran,31:33:00,Tunisia,,
0_sjpgdntx,Music Time in Africa September 4 1977,9/4/77,1977,Sue Moran,28:42:00,"Burkina Faso, Burkina Faso",,
0_krqhghw0,Music Time in Africa September 11 1977,9/11/77,1977,Sue Moran,27:49:00,Malawi,,
0_m2fdt45u,Music Time in Africa September 18 1977,9/18/77,1977,Sue Moran,31:53:00,Angola,,
0_2o25o8uv,Music Time in Africa September 25 1977,9/25/77,1977,Sue Moran,31:47:00,Angola,,
0_u00ft0x7,Music Time in Africa October 1977,10/1/77,1977,Sue Moran,25:24:00,Central African Republic,,
0_o3yl5s4f,Music Time in Africa October 2 1977,10/2/77,1977,Sue Moran,31:39:00,"Democratic Republic of the Congo, Democratic Republic of the Congo, Angola",,
0_7f2t4km4,Music Time in Africa October 9 1977,10/9/77,1977,Sue Moran,31:52:00,Uganda,,
0_8kv97sen,Music Time in Africa October 30 1977,10/30/77,1977,Sue Moran,31:18:00,Central African Republic,,
0_9zvsx97s,Music Time in Africa November 6 1977,11/6/77,1977,Sue Moran,31:45:00,Chad,,
0_yanxpmsm,Music Time in Africa November 13 1977,11/13/77,1977,Sue Moran,31:42:00,Chad,,
0_onq492e4,Music Time in Africa November 20 1977,11/20/77,1977,Sue Moran,31:55:00,Nigeria,,
0_3yck8sex,Music Time in Africa November 27 1977,11/27/77,1977,Sue Moran,31:24:00,Burkina Faso,,
0_0gzy3ur3,Music Time in Africa December 4 1977,12/4/77,1977,Sue Moran,31:43:00,Democratic Republic of the Congo,,
0_c93b1am2,Music Time in Africa December 11 1977,12/11/77,1977,Sue Moran,31:49:00,Central African Republic,,
0_8wi0exn7,Music Time in Africa December 18 1977,12/18/77,1977,Sue Moran,26:43:00,Guinea,,
0_gfgb8ah3,Music Time in Africa December 25 1977,12/25/77,1977,Sue Moran,30:36:00,Ghana,,
0_k7towaqd,Music Time in Africa January 1 1978,1/1/78,1978,Sue Moran,31:52:00,Ivory Coast,,
0_2n2j4uef,Music Time in Africa January 7 1978,1/7/78,1978,Rita Rochelle,31:33:00,Democratic Republic of the Congo,,
0_bamgtjqk,Music Time in Africa January 8 1978,1/8/78,1978,Sue Moran,31:37:00,Niger,,
0_zkiog4cv,Music Time in Africa January 15 1978,1/15/78,1978,Sue Moran,31:58:00,Madagascar,,
0_5bp2wujc,Music Time in Africa January 22 1978,1/22/78,1978,Sue Moran,31:47:00,Malawi,,
0_qxitovdl,Music Time in Africa January 29 1978,1/29/78,1978,Sue Moran,32:01:00,Togo,,
0_qjoupxxt,Music Time in Africa February 1978,2/1/78,1978,Sue Moran,27:05:00,Zambia,,
0_jd379e5w,Music Time in Africa February 12 1978,2/12/78,1978,Sue Moran,31:54:00,Mali,,
0_8sx5ys62,Music Time in Africa February 19 1978,2/19/78,1978,Sue Moran,31:49:00,Kenya,,
0_9qmmttoi,Music Time in Africa February 26 1978,2/26/78,1978,Sue Moran,32:02:00,Madagascar,,
0_9d6u7k82,Music Time in Africa March 5 1978,3/5/78,1978,Sue Moran,31:39:00,Benin,,
0_lvezykfh,Music Time in Africa March 12 1978,3/12/78,1978,Sue Moran,23:17,Ethiopia,,
0_g52ql0ot,Music Time in Africa April 2 1978,4/2/78,1978,Sue Moran,31:22:00,Nigeria,,
0_9bopl67o,Music Time in Africa April 09 1978,4/9/78,1978,Sue Moran,31:19:00,Cameroon,,
